"","component_name","pct_weight","is_refuse","gram_weight","nutrient_name","nutrient_amount","min","max","median","nutrient_unit"
"1","Bone and cartilage",32.4,"Y",33.7,"Cholesterol",127,102,135,132,"MG"
"2","Bone and cartilage",32.4,"Y",33.7,"Fatty acids, total trans",0.03,NA,NA,NA,"G"
"3","Bone and cartilage",32.4,"Y",33.7,"Fatty acids, total saturated",1.6,NA,NA,NA,"G"
"4","Bone and cartilage",32.4,"Y",33.7,"8:0",0.002,0.001,0.003,0.002,"G"
"5","Bone and cartilage",32.4,"Y",33.7,"12:0",0.003,0.002,0.004,0.003,"G"
"6","Bone and cartilage",32.4,"Y",33.7,"14:0",0.03,0.025,0.032,0.031,"G"
"7","Bone and cartilage",32.4,"Y",33.7,"22:6 n-3 (DHA)",0.005,0.001,0.006,0.006,"G"
"8","Bone and cartilage",32.4,"Y",33.7,"22:0",0.007,0.006,0.008,0.007,"G"
"9","Bone and cartilage",32.4,"Y",33.7,"20:5 n-3 (EPA)",0.004,0.004,0.005,0.004,"G"
"10","Bone and cartilage",32.4,"Y",33.7,"22:5 n-3 (DPA)",0.008,0.008,0.009,0.008,"G"
"11","Bone and cartilage",32.4,"Y",33.7,"17:0",0.006,0.005,0.007,0.006,"G"
"12","Bone and cartilage",32.4,"Y",33.7,"24:0",0,0,0,0,"G"
"13","Bone and cartilage",32.4,"Y",33.7,"16:1 t",0.003,0.002,0.004,0.003,"G"
"14","Bone and cartilage",32.4,"Y",33.7,"24:1 c",0.002,0.002,0.003,0.002,"G"
"15","Bone and cartilage",32.4,"Y",33.7,"18:1 c",1.94,1.72,2.11,1.96,"G"
"16","Bone and cartilage",32.4,"Y",33.7,"18:2 n-6 c,c",1.05,0.944,1.3,0.973,"G"
"17","Bone and cartilage",32.4,"Y",33.7,"22:1 c",0,0,0,0,"G"
"18","Bone and cartilage",32.4,"Y",33.7,"17:1",0.003,0.002,0.005,0.003,"G"
"19","Bone and cartilage",32.4,"Y",33.7,"Fatty acids, total trans-monoenoic",0.021,NA,NA,NA,"G"
"20","Bone and cartilage",32.4,"Y",33.7,"15:1",0,0,0,0,"G"
"21","Bone and cartilage",32.4,"Y",33.7,"18:3 n-3 c,c,c (ALA)",0.045,0.035,0.059,0.042,"G"
"22","Bone and cartilage",32.4,"Y",33.7,"20:3 n-3",0,0,0,0,"G"
"23","Bone and cartilage",32.4,"Y",33.7,"22:4",0.022,0.02,0.024,0.022,"G"
"24","Bone and cartilage",32.4,"Y",33.7,"Protein",23.9,23,24.6,24.1,"G"
"25","Bone and cartilage",32.4,"Y",33.7,"Ash",0.98,0.92,1.13,0.95,"G"
"26","Bone and cartilage",32.4,"Y",33.7,"Energy",652,NA,NA,NA,"kJ"
"27","Bone and cartilage",32.4,"Y",33.7,"Iron, Fe",0.94,0.78,1.05,1,"MG"
"28","Bone and cartilage",32.4,"Y",33.7,"Magnesium, Mg",22.4,21.1,23.7,22.3,"MG"
"29","Bone and cartilage",32.4,"Y",33.7,"Phosphorus, P",184,170,193,187,"MG"
"30","Bone and cartilage",32.4,"Y",33.7,"Sodium, Na",117,97,169,106,"MG"
"31","Bone and cartilage",32.4,"Y",33.7,"Copper, Cu",0.063,0.049,0.071,0.064,"MG"
"32","Bone and cartilage",32.4,"Y",33.7,"Manganese, Mn",0.018,0.014,0.021,0.018,"MG"
"33","Bone and cartilage",32.4,"Y",33.7,"Retinol",7,NA,NA,7,"UG"
"34","Bone and cartilage",32.4,"Y",33.7,"Vitamin A, RAE",7,NA,NA,NA,"UG"
"35","Bone and cartilage",32.4,"Y",33.7,"Vitamin D3 (cholecalciferol)",0.1,NA,NA,0.1,"UG"
"36","Bone and cartilage",32.4,"Y",33.7,"Vitamin D (D2 + D3)",0.1,NA,NA,NA,"UG"
"37","Bone and cartilage",32.4,"Y",33.7,"Tocopherol, delta",0,NA,NA,0,"MG"
"38","Bone and cartilage",32.4,"Y",33.7,"Tocotrienol, gamma",0.05,NA,NA,0.05,"MG"
"39","Bone and cartilage",32.4,"Y",33.7,"Tocotrienol, delta",0,NA,NA,0,"MG"
"40","Bone and cartilage",32.4,"Y",33.7,"Thiamin",0.088,0.08,0.09,0.09,"MG"
"41","Bone and cartilage",32.4,"Y",33.7,"Riboflavin",0.18,0.16,0.19,0.18,"MG"
"42","Bone and cartilage",32.4,"Y",33.7,"Vitamin B-12",0.41,0.31,0.52,0.41,"UG"
"43","Bone and cartilage",32.4,"Y",33.7,"Total lipid (fat)",5.95,5.54,6.33,5.93,"G"
"44","Bone and cartilage",32.4,"Y",33.7,"Carbohydrate, by difference",0,NA,NA,NA,"G"
"45","Bone and cartilage",32.4,"Y",33.7,"Energy",156,NA,NA,NA,"KCAL"
"46","Bone and cartilage",32.4,"Y",33.7,"Water",69.9,69.7,70.2,69.9,"G"
"47","Bone and cartilage",32.4,"Y",33.7,"Calcium, Ca",12,11,14,12,"MG"
"48","Bone and cartilage",32.4,"Y",33.7,"Potassium, K",239,229,263,235,"MG"
"49","Bone and cartilage",32.4,"Y",33.7,"Zinc, Zn",2.54,2.22,2.78,2.64,"MG"
"50","Bone and cartilage",32.4,"Y",33.7,"Selenium, Se",27.9,20.3,34.5,29.8,"UG"
"51","Bone and cartilage",32.4,"Y",33.7,"Vitamin E (alpha-tocopherol)",0.17,NA,NA,0.17,"MG"
"52","Bone and cartilage",32.4,"Y",33.7,"Vitamin D (D2 + D3), International Units",2,NA,NA,2,"IU"
"53","Bone and cartilage",32.4,"Y",33.7,"Tocopherol, beta",0,NA,NA,0,"MG"
"54","Bone and cartilage",32.4,"Y",33.7,"Tocopherol, gamma",0.08,NA,NA,0.08,"MG"
"55","Bone and cartilage",32.4,"Y",33.7,"Tocotrienol, alpha",0.01,NA,NA,0.01,"MG"
"56","Bone and cartilage",32.4,"Y",33.7,"Tocotrienol, beta",0,NA,NA,0,"MG"
"57","Bone and cartilage",32.4,"Y",33.7,"Niacin",5.05,4.89,5.24,5.05,"MG"
"58","Bone and cartilage",32.4,"Y",33.7,"Pantothenic acid",1.1,NA,NA,1.1,"MG"
"59","Bone and cartilage",32.4,"Y",33.7,"Vitamin B-6",0.372,0.31,0.426,0.363,"MG"
"60","Bone and cartilage",32.4,"Y",33.7,"4:0",0.001,0.001,0.001,0.001,"G"
"61","Bone and cartilage",32.4,"Y",33.7,"6:0",0.001,0.001,0.002,0.001,"G"
"62","Bone and cartilage",32.4,"Y",33.7,"10:0",0,0,0,0,"G"
"63","Bone and cartilage",32.4,"Y",33.7,"16:0",1.2,1.09,1.3,1.22,"G"
"64","Bone and cartilage",32.4,"Y",33.7,"18:0",0.346,0.324,0.367,0.338,"G"
"65","Bone and cartilage",32.4,"Y",33.7,"20:0",0.004,0.003,0.005,0.004,"G"
"66","Bone and cartilage",32.4,"Y",33.7,"20:4",0.088,0.083,0.094,0.087,"G"
"67","Bone and cartilage",32.4,"Y",33.7,"18:4",0,0,0,0,"G"
"68","Bone and cartilage",32.4,"Y",33.7,"20:1",0.023,0.018,0.025,0.024,"G"
"69","Bone and cartilage",32.4,"Y",33.7,"Fatty acids, total monounsaturated",2.35,NA,NA,NA,"G"
"70","Bone and cartilage",32.4,"Y",33.7,"Fatty acids, total polyunsaturated",1.24,NA,NA,NA,"G"
"71","Bone and cartilage",32.4,"Y",33.7,"15:0",0.005,0.004,0.005,0.005,"G"
"72","Bone and cartilage",32.4,"Y",33.7,"18:1 t",0.018,0.015,0.021,0.02,"G"
"73","Bone and cartilage",32.4,"Y",33.7,"22:1 t",0,0,0,0,"G"
"74","Bone and cartilage",32.4,"Y",33.7,"18:2 t not further defined",0.008,0.007,0.011,0.007,"G"
"75","Bone and cartilage",32.4,"Y",33.7,"18:2 CLAs",0.006,0.004,0.007,0.006,"G"
"76","Bone and cartilage",32.4,"Y",33.7,"20:2 n-6 c,c",0.01,0.009,0.013,0.009,"G"
"77","Bone and cartilage",32.4,"Y",33.7,"16:1 c",0.371,0.322,0.441,0.35,"G"
"78","Bone and cartilage",32.4,"Y",33.7,"18:3 n-6 c,c,c",0.01,0.009,0.012,0.01,"G"
"79","Bone and cartilage",32.4,"Y",33.7,"20:3 n-6",0.019,0.018,0.02,0.019,"G"
"80","Bone and cartilage",32.4,"Y",33.7,"Nitrogen",3.83,3.68,3.93,3.86,"G"
"81","Bone and cartilage",32.4,"Y",33.7,"11:0",0,0,0,0,"G"
"82","Bone and cartilage",32.4,"Y",33.7,"22:2",0,0,0,0,"G"
"83","Bone and cartilage",32.4,"Y",33.7,"Fatty acids, total trans-dienoic",0.008,NA,NA,NA,"G"
"84","Bone and cartilage",32.4,"Y",33.7,"14:1 c",0.012,NA,NA,NA,"G"
"85","Bone and cartilage",32.4,"Y",33.7,"17:1 c",0.003,NA,NA,NA,"G"
"86","Bone and cartilage",32.4,"Y",33.7,"20:1 c",0.023,NA,NA,NA,"G"
"87","Bone and cartilage",32.4,"Y",33.7,"18:2 c",1.06,NA,NA,NA,"G"
"88","Bone and cartilage",32.4,"Y",33.7,"18:3 c",0.055,NA,NA,NA,"G"
"89","Bone and cartilage",32.4,"Y",33.7,"20:3 c",0.019,NA,NA,NA,"G"
"90","Bone and cartilage",32.4,"Y",33.7,"20:4 c",0.088,NA,NA,NA,"G"
"91","Bone and cartilage",32.4,"Y",33.7,"20:5 c",0.004,NA,NA,NA,"G"
"92","Bone and cartilage",32.4,"Y",33.7,"22:5 c",0.008,NA,NA,NA,"G"
"93","Bone and cartilage",32.4,"Y",33.7,"22:6 c",0.005,NA,NA,NA,"G"
"94","Bone and cartilage",32.4,"Y",33.7,"20:2 c",0.01,NA,NA,NA,"G"
"95","Bone and cartilage",32.4,"Y",33.7,"Total fat (NLEA)",5.23,NA,NA,NA,"G"
"96","Total gram weight",100,"N",104,"Cholesterol",127,102,135,132,"MG"
"97","Total gram weight",100,"N",104,"Fatty acids, total trans",0.03,NA,NA,NA,"G"
"98","Total gram weight",100,"N",104,"Fatty acids, total saturated",1.6,NA,NA,NA,"G"
"99","Total gram weight",100,"N",104,"8:0",0.002,0.001,0.003,0.002,"G"
"100","Total gram weight",100,"N",104,"12:0",0.003,0.002,0.004,0.003,"G"
"101","Total gram weight",100,"N",104,"14:0",0.03,0.025,0.032,0.031,"G"
"102","Total gram weight",100,"N",104,"22:6 n-3 (DHA)",0.005,0.001,0.006,0.006,"G"
"103","Total gram weight",100,"N",104,"22:0",0.007,0.006,0.008,0.007,"G"
"104","Total gram weight",100,"N",104,"20:5 n-3 (EPA)",0.004,0.004,0.005,0.004,"G"
"105","Total gram weight",100,"N",104,"22:5 n-3 (DPA)",0.008,0.008,0.009,0.008,"G"
"106","Total gram weight",100,"N",104,"17:0",0.006,0.005,0.007,0.006,"G"
"107","Total gram weight",100,"N",104,"24:0",0,0,0,0,"G"
"108","Total gram weight",100,"N",104,"16:1 t",0.003,0.002,0.004,0.003,"G"
"109","Total gram weight",100,"N",104,"24:1 c",0.002,0.002,0.003,0.002,"G"
"110","Total gram weight",100,"N",104,"18:1 c",1.94,1.72,2.11,1.96,"G"
"111","Total gram weight",100,"N",104,"18:2 n-6 c,c",1.05,0.944,1.3,0.973,"G"
"112","Total gram weight",100,"N",104,"22:1 c",0,0,0,0,"G"
"113","Total gram weight",100,"N",104,"17:1",0.003,0.002,0.005,0.003,"G"
"114","Total gram weight",100,"N",104,"Fatty acids, total trans-monoenoic",0.021,NA,NA,NA,"G"
"115","Total gram weight",100,"N",104,"15:1",0,0,0,0,"G"
"116","Total gram weight",100,"N",104,"18:3 n-3 c,c,c (ALA)",0.045,0.035,0.059,0.042,"G"
"117","Total gram weight",100,"N",104,"20:3 n-3",0,0,0,0,"G"
"118","Total gram weight",100,"N",104,"22:4",0.022,0.02,0.024,0.022,"G"
"119","Total gram weight",100,"N",104,"Protein",23.9,23,24.6,24.1,"G"
"120","Total gram weight",100,"N",104,"Ash",0.98,0.92,1.13,0.95,"G"
"121","Total gram weight",100,"N",104,"Energy",652,NA,NA,NA,"kJ"
"122","Total gram weight",100,"N",104,"Iron, Fe",0.94,0.78,1.05,1,"MG"
"123","Total gram weight",100,"N",104,"Magnesium, Mg",22.4,21.1,23.7,22.3,"MG"
"124","Total gram weight",100,"N",104,"Phosphorus, P",184,170,193,187,"MG"
"125","Total gram weight",100,"N",104,"Sodium, Na",117,97,169,106,"MG"
"126","Total gram weight",100,"N",104,"Copper, Cu",0.063,0.049,0.071,0.064,"MG"
"127","Total gram weight",100,"N",104,"Manganese, Mn",0.018,0.014,0.021,0.018,"MG"
"128","Total gram weight",100,"N",104,"Retinol",7,NA,NA,7,"UG"
"129","Total gram weight",100,"N",104,"Vitamin A, RAE",7,NA,NA,NA,"UG"
"130","Total gram weight",100,"N",104,"Vitamin D3 (cholecalciferol)",0.1,NA,NA,0.1,"UG"
"131","Total gram weight",100,"N",104,"Vitamin D (D2 + D3)",0.1,NA,NA,NA,"UG"
"132","Total gram weight",100,"N",104,"Tocopherol, delta",0,NA,NA,0,"MG"
"133","Total gram weight",100,"N",104,"Tocotrienol, gamma",0.05,NA,NA,0.05,"MG"
"134","Total gram weight",100,"N",104,"Tocotrienol, delta",0,NA,NA,0,"MG"
"135","Total gram weight",100,"N",104,"Thiamin",0.088,0.08,0.09,0.09,"MG"
"136","Total gram weight",100,"N",104,"Riboflavin",0.18,0.16,0.19,0.18,"MG"
"137","Total gram weight",100,"N",104,"Vitamin B-12",0.41,0.31,0.52,0.41,"UG"
"138","Total gram weight",100,"N",104,"Total lipid (fat)",5.95,5.54,6.33,5.93,"G"
"139","Total gram weight",100,"N",104,"Carbohydrate, by difference",0,NA,NA,NA,"G"
"140","Total gram weight",100,"N",104,"Energy",156,NA,NA,NA,"KCAL"
"141","Total gram weight",100,"N",104,"Water",69.9,69.7,70.2,69.9,"G"
"142","Total gram weight",100,"N",104,"Calcium, Ca",12,11,14,12,"MG"
"143","Total gram weight",100,"N",104,"Potassium, K",239,229,263,235,"MG"
"144","Total gram weight",100,"N",104,"Zinc, Zn",2.54,2.22,2.78,2.64,"MG"
"145","Total gram weight",100,"N",104,"Selenium, Se",27.9,20.3,34.5,29.8,"UG"
"146","Total gram weight",100,"N",104,"Vitamin E (alpha-tocopherol)",0.17,NA,NA,0.17,"MG"
"147","Total gram weight",100,"N",104,"Vitamin D (D2 + D3), International Units",2,NA,NA,2,"IU"
"148","Total gram weight",100,"N",104,"Tocopherol, beta",0,NA,NA,0,"MG"
"149","Total gram weight",100,"N",104,"Tocopherol, gamma",0.08,NA,NA,0.08,"MG"
"150","Total gram weight",100,"N",104,"Tocotrienol, alpha",0.01,NA,NA,0.01,"MG"
"151","Total gram weight",100,"N",104,"Tocotrienol, beta",0,NA,NA,0,"MG"
"152","Total gram weight",100,"N",104,"Niacin",5.05,4.89,5.24,5.05,"MG"
"153","Total gram weight",100,"N",104,"Pantothenic acid",1.1,NA,NA,1.1,"MG"
"154","Total gram weight",100,"N",104,"Vitamin B-6",0.372,0.31,0.426,0.363,"MG"
"155","Total gram weight",100,"N",104,"4:0",0.001,0.001,0.001,0.001,"G"
"156","Total gram weight",100,"N",104,"6:0",0.001,0.001,0.002,0.001,"G"
"157","Total gram weight",100,"N",104,"10:0",0,0,0,0,"G"
"158","Total gram weight",100,"N",104,"16:0",1.2,1.09,1.3,1.22,"G"
"159","Total gram weight",100,"N",104,"18:0",0.346,0.324,0.367,0.338,"G"
"160","Total gram weight",100,"N",104,"20:0",0.004,0.003,0.005,0.004,"G"
"161","Total gram weight",100,"N",104,"20:4",0.088,0.083,0.094,0.087,"G"
"162","Total gram weight",100,"N",104,"18:4",0,0,0,0,"G"
"163","Total gram weight",100,"N",104,"20:1",0.023,0.018,0.025,0.024,"G"
"164","Total gram weight",100,"N",104,"Fatty acids, total monounsaturated",2.35,NA,NA,NA,"G"
"165","Total gram weight",100,"N",104,"Fatty acids, total polyunsaturated",1.24,NA,NA,NA,"G"
"166","Total gram weight",100,"N",104,"15:0",0.005,0.004,0.005,0.005,"G"
"167","Total gram weight",100,"N",104,"18:1 t",0.018,0.015,0.021,0.02,"G"
"168","Total gram weight",100,"N",104,"22:1 t",0,0,0,0,"G"
"169","Total gram weight",100,"N",104,"18:2 t not further defined",0.008,0.007,0.011,0.007,"G"
"170","Total gram weight",100,"N",104,"18:2 CLAs",0.006,0.004,0.007,0.006,"G"
"171","Total gram weight",100,"N",104,"20:2 n-6 c,c",0.01,0.009,0.013,0.009,"G"
"172","Total gram weight",100,"N",104,"16:1 c",0.371,0.322,0.441,0.35,"G"
"173","Total gram weight",100,"N",104,"18:3 n-6 c,c,c",0.01,0.009,0.012,0.01,"G"
"174","Total gram weight",100,"N",104,"20:3 n-6",0.019,0.018,0.02,0.019,"G"
"175","Total gram weight",100,"N",104,"Nitrogen",3.83,3.68,3.93,3.86,"G"
"176","Total gram weight",100,"N",104,"11:0",0,0,0,0,"G"
"177","Total gram weight",100,"N",104,"22:2",0,0,0,0,"G"
"178","Total gram weight",100,"N",104,"Fatty acids, total trans-dienoic",0.008,NA,NA,NA,"G"
"179","Total gram weight",100,"N",104,"14:1 c",0.012,NA,NA,NA,"G"
"180","Total gram weight",100,"N",104,"17:1 c",0.003,NA,NA,NA,"G"
"181","Total gram weight",100,"N",104,"20:1 c",0.023,NA,NA,NA,"G"
"182","Total gram weight",100,"N",104,"18:2 c",1.06,NA,NA,NA,"G"
"183","Total gram weight",100,"N",104,"18:3 c",0.055,NA,NA,NA,"G"
"184","Total gram weight",100,"N",104,"20:3 c",0.019,NA,NA,NA,"G"
"185","Total gram weight",100,"N",104,"20:4 c",0.088,NA,NA,NA,"G"
"186","Total gram weight",100,"N",104,"20:5 c",0.004,NA,NA,NA,"G"
"187","Total gram weight",100,"N",104,"22:5 c",0.008,NA,NA,NA,"G"
"188","Total gram weight",100,"N",104,"22:6 c",0.005,NA,NA,NA,"G"
"189","Total gram weight",100,"N",104,"20:2 c",0.01,NA,NA,NA,"G"
"190","Total gram weight",100,"N",104,"Total fat (NLEA)",5.23,NA,NA,NA,"G"
"191","Separable Lean",57.9,"N",60.2,"Cholesterol",127,102,135,132,"MG"
"192","Separable Lean",57.9,"N",60.2,"Fatty acids, total trans",0.03,NA,NA,NA,"G"
"193","Separable Lean",57.9,"N",60.2,"Fatty acids, total saturated",1.6,NA,NA,NA,"G"
"194","Separable Lean",57.9,"N",60.2,"8:0",0.002,0.001,0.003,0.002,"G"
"195","Separable Lean",57.9,"N",60.2,"12:0",0.003,0.002,0.004,0.003,"G"
"196","Separable Lean",57.9,"N",60.2,"14:0",0.03,0.025,0.032,0.031,"G"
"197","Separable Lean",57.9,"N",60.2,"22:6 n-3 (DHA)",0.005,0.001,0.006,0.006,"G"
"198","Separable Lean",57.9,"N",60.2,"22:0",0.007,0.006,0.008,0.007,"G"
"199","Separable Lean",57.9,"N",60.2,"20:5 n-3 (EPA)",0.004,0.004,0.005,0.004,"G"
"200","Separable Lean",57.9,"N",60.2,"22:5 n-3 (DPA)",0.008,0.008,0.009,0.008,"G"
"201","Separable Lean",57.9,"N",60.2,"17:0",0.006,0.005,0.007,0.006,"G"
"202","Separable Lean",57.9,"N",60.2,"24:0",0,0,0,0,"G"
"203","Separable Lean",57.9,"N",60.2,"16:1 t",0.003,0.002,0.004,0.003,"G"
"204","Separable Lean",57.9,"N",60.2,"24:1 c",0.002,0.002,0.003,0.002,"G"
"205","Separable Lean",57.9,"N",60.2,"18:1 c",1.94,1.72,2.11,1.96,"G"
"206","Separable Lean",57.9,"N",60.2,"18:2 n-6 c,c",1.05,0.944,1.3,0.973,"G"
"207","Separable Lean",57.9,"N",60.2,"22:1 c",0,0,0,0,"G"
"208","Separable Lean",57.9,"N",60.2,"17:1",0.003,0.002,0.005,0.003,"G"
"209","Separable Lean",57.9,"N",60.2,"Fatty acids, total trans-monoenoic",0.021,NA,NA,NA,"G"
"210","Separable Lean",57.9,"N",60.2,"15:1",0,0,0,0,"G"
"211","Separable Lean",57.9,"N",60.2,"18:3 n-3 c,c,c (ALA)",0.045,0.035,0.059,0.042,"G"
"212","Separable Lean",57.9,"N",60.2,"20:3 n-3",0,0,0,0,"G"
"213","Separable Lean",57.9,"N",60.2,"22:4",0.022,0.02,0.024,0.022,"G"
"214","Separable Lean",57.9,"N",60.2,"Protein",23.9,23,24.6,24.1,"G"
"215","Separable Lean",57.9,"N",60.2,"Ash",0.98,0.92,1.13,0.95,"G"
"216","Separable Lean",57.9,"N",60.2,"Energy",652,NA,NA,NA,"kJ"
"217","Separable Lean",57.9,"N",60.2,"Iron, Fe",0.94,0.78,1.05,1,"MG"
"218","Separable Lean",57.9,"N",60.2,"Magnesium, Mg",22.4,21.1,23.7,22.3,"MG"
"219","Separable Lean",57.9,"N",60.2,"Phosphorus, P",184,170,193,187,"MG"
"220","Separable Lean",57.9,"N",60.2,"Sodium, Na",117,97,169,106,"MG"
"221","Separable Lean",57.9,"N",60.2,"Copper, Cu",0.063,0.049,0.071,0.064,"MG"
"222","Separable Lean",57.9,"N",60.2,"Manganese, Mn",0.018,0.014,0.021,0.018,"MG"
"223","Separable Lean",57.9,"N",60.2,"Retinol",7,NA,NA,7,"UG"
"224","Separable Lean",57.9,"N",60.2,"Vitamin A, RAE",7,NA,NA,NA,"UG"
"225","Separable Lean",57.9,"N",60.2,"Vitamin D3 (cholecalciferol)",0.1,NA,NA,0.1,"UG"
"226","Separable Lean",57.9,"N",60.2,"Vitamin D (D2 + D3)",0.1,NA,NA,NA,"UG"
"227","Separable Lean",57.9,"N",60.2,"Tocopherol, delta",0,NA,NA,0,"MG"
"228","Separable Lean",57.9,"N",60.2,"Tocotrienol, gamma",0.05,NA,NA,0.05,"MG"
"229","Separable Lean",57.9,"N",60.2,"Tocotrienol, delta",0,NA,NA,0,"MG"
"230","Separable Lean",57.9,"N",60.2,"Thiamin",0.088,0.08,0.09,0.09,"MG"
"231","Separable Lean",57.9,"N",60.2,"Riboflavin",0.18,0.16,0.19,0.18,"MG"
"232","Separable Lean",57.9,"N",60.2,"Vitamin B-12",0.41,0.31,0.52,0.41,"UG"
"233","Separable Lean",57.9,"N",60.2,"Total lipid (fat)",5.95,5.54,6.33,5.93,"G"
"234","Separable Lean",57.9,"N",60.2,"Carbohydrate, by difference",0,NA,NA,NA,"G"
"235","Separable Lean",57.9,"N",60.2,"Energy",156,NA,NA,NA,"KCAL"
"236","Separable Lean",57.9,"N",60.2,"Water",69.9,69.7,70.2,69.9,"G"
"237","Separable Lean",57.9,"N",60.2,"Calcium, Ca",12,11,14,12,"MG"
"238","Separable Lean",57.9,"N",60.2,"Potassium, K",239,229,263,235,"MG"
"239","Separable Lean",57.9,"N",60.2,"Zinc, Zn",2.54,2.22,2.78,2.64,"MG"
"240","Separable Lean",57.9,"N",60.2,"Selenium, Se",27.9,20.3,34.5,29.8,"UG"
"241","Separable Lean",57.9,"N",60.2,"Vitamin E (alpha-tocopherol)",0.17,NA,NA,0.17,"MG"
"242","Separable Lean",57.9,"N",60.2,"Vitamin D (D2 + D3), International Units",2,NA,NA,2,"IU"
"243","Separable Lean",57.9,"N",60.2,"Tocopherol, beta",0,NA,NA,0,"MG"
"244","Separable Lean",57.9,"N",60.2,"Tocopherol, gamma",0.08,NA,NA,0.08,"MG"
"245","Separable Lean",57.9,"N",60.2,"Tocotrienol, alpha",0.01,NA,NA,0.01,"MG"
"246","Separable Lean",57.9,"N",60.2,"Tocotrienol, beta",0,NA,NA,0,"MG"
"247","Separable Lean",57.9,"N",60.2,"Niacin",5.05,4.89,5.24,5.05,"MG"
"248","Separable Lean",57.9,"N",60.2,"Pantothenic acid",1.1,NA,NA,1.1,"MG"
"249","Separable Lean",57.9,"N",60.2,"Vitamin B-6",0.372,0.31,0.426,0.363,"MG"
"250","Separable Lean",57.9,"N",60.2,"4:0",0.001,0.001,0.001,0.001,"G"
"251","Separable Lean",57.9,"N",60.2,"6:0",0.001,0.001,0.002,0.001,"G"
"252","Separable Lean",57.9,"N",60.2,"10:0",0,0,0,0,"G"
"253","Separable Lean",57.9,"N",60.2,"16:0",1.2,1.09,1.3,1.22,"G"
"254","Separable Lean",57.9,"N",60.2,"18:0",0.346,0.324,0.367,0.338,"G"
"255","Separable Lean",57.9,"N",60.2,"20:0",0.004,0.003,0.005,0.004,"G"
"256","Separable Lean",57.9,"N",60.2,"20:4",0.088,0.083,0.094,0.087,"G"
"257","Separable Lean",57.9,"N",60.2,"18:4",0,0,0,0,"G"
"258","Separable Lean",57.9,"N",60.2,"20:1",0.023,0.018,0.025,0.024,"G"
"259","Separable Lean",57.9,"N",60.2,"Fatty acids, total monounsaturated",2.35,NA,NA,NA,"G"
"260","Separable Lean",57.9,"N",60.2,"Fatty acids, total polyunsaturated",1.24,NA,NA,NA,"G"
"261","Separable Lean",57.9,"N",60.2,"15:0",0.005,0.004,0.005,0.005,"G"
"262","Separable Lean",57.9,"N",60.2,"18:1 t",0.018,0.015,0.021,0.02,"G"
"263","Separable Lean",57.9,"N",60.2,"22:1 t",0,0,0,0,"G"
"264","Separable Lean",57.9,"N",60.2,"18:2 t not further defined",0.008,0.007,0.011,0.007,"G"
"265","Separable Lean",57.9,"N",60.2,"18:2 CLAs",0.006,0.004,0.007,0.006,"G"
"266","Separable Lean",57.9,"N",60.2,"20:2 n-6 c,c",0.01,0.009,0.013,0.009,"G"
"267","Separable Lean",57.9,"N",60.2,"16:1 c",0.371,0.322,0.441,0.35,"G"
"268","Separable Lean",57.9,"N",60.2,"18:3 n-6 c,c,c",0.01,0.009,0.012,0.01,"G"
"269","Separable Lean",57.9,"N",60.2,"20:3 n-6",0.019,0.018,0.02,0.019,"G"
"270","Separable Lean",57.9,"N",60.2,"Nitrogen",3.83,3.68,3.93,3.86,"G"
"271","Separable Lean",57.9,"N",60.2,"11:0",0,0,0,0,"G"
"272","Separable Lean",57.9,"N",60.2,"22:2",0,0,0,0,"G"
"273","Separable Lean",57.9,"N",60.2,"Fatty acids, total trans-dienoic",0.008,NA,NA,NA,"G"
"274","Separable Lean",57.9,"N",60.2,"14:1 c",0.012,NA,NA,NA,"G"
"275","Separable Lean",57.9,"N",60.2,"17:1 c",0.003,NA,NA,NA,"G"
"276","Separable Lean",57.9,"N",60.2,"20:1 c",0.023,NA,NA,NA,"G"
"277","Separable Lean",57.9,"N",60.2,"18:2 c",1.06,NA,NA,NA,"G"
"278","Separable Lean",57.9,"N",60.2,"18:3 c",0.055,NA,NA,NA,"G"
"279","Separable Lean",57.9,"N",60.2,"20:3 c",0.019,NA,NA,NA,"G"
"280","Separable Lean",57.9,"N",60.2,"20:4 c",0.088,NA,NA,NA,"G"
"281","Separable Lean",57.9,"N",60.2,"20:5 c",0.004,NA,NA,NA,"G"
"282","Separable Lean",57.9,"N",60.2,"22:5 c",0.008,NA,NA,NA,"G"
"283","Separable Lean",57.9,"N",60.2,"22:6 c",0.005,NA,NA,NA,"G"
"284","Separable Lean",57.9,"N",60.2,"20:2 c",0.01,NA,NA,NA,"G"
"285","Separable Lean",57.9,"N",60.2,"Total fat (NLEA)",5.23,NA,NA,NA,"G"
"286","Handling loss",1.5,"N",1.5,"Cholesterol",127,102,135,132,"MG"
"287","Handling loss",1.5,"N",1.5,"Fatty acids, total trans",0.03,NA,NA,NA,"G"
"288","Handling loss",1.5,"N",1.5,"Fatty acids, total saturated",1.6,NA,NA,NA,"G"
"289","Handling loss",1.5,"N",1.5,"8:0",0.002,0.001,0.003,0.002,"G"
"290","Handling loss",1.5,"N",1.5,"12:0",0.003,0.002,0.004,0.003,"G"
"291","Handling loss",1.5,"N",1.5,"14:0",0.03,0.025,0.032,0.031,"G"
"292","Handling loss",1.5,"N",1.5,"22:6 n-3 (DHA)",0.005,0.001,0.006,0.006,"G"
"293","Handling loss",1.5,"N",1.5,"22:0",0.007,0.006,0.008,0.007,"G"
